Datum;Delta (seit der ersten Buchung);Risikobehafteter Portfolioteil (Weltportfolio);Investiertes Kapital (seit der ersten Buchung);Einlagen / Entnahmen;Gesamtsumme
2021-08-07;3.025,32;9.549,48;10.500,00;0,00;13.525,32
2021-08-08;3.025,32;9.549,48;10.500,00;0,00;13.525,32
2021-08-09;3.025,39;9.547,75;10.500,00;0,00;13.525,39
2021-08-10;3.076,49;9.596,93;10.500,00;0,00;13.576,49
2021-08-11;3.075,51;9.600,03;10.500,00;0,00;13.575,51
2021-08-12;3.063,68;9.584,72;10.500,00;0,00;13.563,68
2021-08-13;3.050,92;9.571,12;10.500,00;0,00;13.550,92
2021-08-14;3.050,92;9.571,12;10.500,00;0,00;13.550,92
2021-08-15;3.050,92;9.571,12;10.500,00;0,00;13.550,92
2021-08-16;2.993,20;9.515,20;10.500,00;0,00;13.493,20
2021-08-17;2.989,50;9.513,30;10.500,00;0,00;13.489,50
2021-08-18;2.990,84;9.509,36;10.500,00;0,00;13.490,84
2021-08-19;2.839,69;9.357,85;10.500,00;0,00;13.339,69
2021-08-20;2.874,70;9.389,74;10.500,00;0,00;13.374,70
2021-08-21;2.874,70;9.389,74;10.500,00;0,00;13.374,70
2021-08-22;2.874,70;9.389,74;10.500,00;0,00;13.374,70
2021-08-23;2.931,68;9.452,48;10.500,00;0,00;13.431,68
2021-08-24;3.031,15;9.551,11;10.500,00;0,00;13.531,15
2021-08-25;3.020,05;9.560,53;10.500,00;0,00;13.520,05
2021-08-26;2.988,92;9.530,60;10.500,00;0,00;13.488,92
2021-08-27;3.032,75;9.571,43;10.500,00;0,00;13.532,75
2021-08-28;3.032,75;9.571,43;10.500,00;0,00;13.532,75
2021-08-29;3.032,75;9.571,43;10.500,00;0,00;13.532,75
2021-08-30;3.064,03;9.597,67;10.500,00;0,00;13.564,03
2021-08-31;3.077,15;9.627,11;10.500,00;0,00;13.577,15
2021-09-01;3.098,96;9.650,12;10.500,00;0,00;13.598,96
2021-09-02;3.128,40;9.675,48;10.500,00;0,00;13.628,40
2021-09-03;3.098,38;9.651,58;10.500,00;0,00;13.598,38
2021-09-04;3.098,38;9.651,58;10.500,00;0,00;13.598,38
2021-09-05;3.098,38;9.651,58;10.500,00;0,00;13.598,38
2021-09-06;3.177,94;9.728,74;10.500,00;0,00;13.677,94
2021-09-07;3.122,42;9.686,18;10.500,00;0,00;13.622,42
2021-09-08;3.084,04;9.647,08;10.500,00;0,00;13.584,04
2021-09-09;3.110,36;9.655,88;10.500,00;0,00;13.610,36
2021-09-10;3.074,36;9.631,52;10.500,00;0,00;13.574,36
2021-09-11;3.074,36;9.631,52;10.500,00;0,00;13.574,36
2021-09-12;3.074,36;9.631,52;10.500,00;0,00;13.574,36
2021-09-13;3.084,61;9.640,33;10.500,00;0,00;13.584,61
2021-09-14;3.067,30;9.618,22;10.500,00;0,00;13.567,30
2021-09-15;3.056,63;9.615,47;10.500,00;0,00;13.556,63
2021-09-16;3.022,35;9.582,27;10.500,00;0,00;13.522,35
2021-09-17;3.004,07;9.570,11;10.500,00;0,00;13.504,07
2021-09-18;3.004,07;9.570,11;10.500,00;0,00;13.504,07
2021-09-19;3.004,07;9.570,11;10.500,00;0,00;13.504,07
2021-09-20;2.833,74;9.393,42;10.500,00;0,00;13.333,74
2021-09-21;2.846,43;9.401,19;10.500,00;0,00;13.346,43
2021-09-22;2.942,68;9.495,28;10.500,00;0,00;13.442,68
2021-09-23;3.011,83;9.581,11;10.500,00;0,00;13.511,83
2021-09-24;2.990,49;9.568,17;10.500,00;0,00;13.490,49
2021-09-25;2.990,49;9.568,17;10.500,00;0,00;13.490,49
2021-09-26;2.990,49;9.568,17;10.500,00;0,00;13.490,49
2021-09-27;3.048,27;9.626,43;10.500,00;0,00;13.548,27
2021-09-28;2.922,91;9.509,35;10.500,00;0,00;13.422,91
2021-09-29;2.974,99;9.556,63;10.500,00;0,00;13.474,99
2021-09-30;2.999,04;9.588,36;10.500,00;0,00;13.499,04
2021-10-01;2.937,53;9.519,89;10.500,00;0,00;13.437,53
2021-10-02;2.937,53;9.519,89;10.500,00;0,00;13.437,53
2021-10-03;2.937,53;9.519,89;10.500,00;0,00;13.437,53
2021-10-04;2.879,65;9.461,65;10.500,00;0,00;13.379,65
2021-10-05;3.007,72;9.597,40;10.500,00;0,00;13.507,72
2021-10-06;2.930,73;9.522,93;10.500,00;0,00;13.430,73
2021-10-07;3.095,77;9.684,25;10.500,00;0,00;13.595,77
2021-10-08;3.089,15;9.686,75;10.500,00;0,00;13.589,15
2021-10-09;3.089,15;9.686,75;10.500,00;0,00;13.589,15
2021-10-10;3.089,15;9.686,75;10.500,00;0,00;13.589,15
2021-10-11;3.099,34;9.701,02;10.500,00;0,00;13.599,34
2021-10-12;3.056,71;9.662,35;10.500,00;0,00;13.556,71
2021-10-13;3.068,31;9.664,23;10.500,00;0,00;13.568,31
2021-10-14;3.199,34;9.780,26;10.500,00;0,00;13.699,34
2021-10-15;3.279,85;9.865,93;10.500,00;0,00;13.779,85
2021-10-16;3.279,85;9.865,93;10.500,00;0,00;13.779,85
2021-10-17;3.279,85;9.865,93;10.500,00;0,00;13.779,85
2021-10-18;3.245,18;9.833,90;10.500,00;0,00;13.745,18
2021-10-19;3.270,30;9.868,50;10.500,00;0,00;13.770,30
2021-10-20;3.290,27;9.885,95;10.500,00;0,00;13.790,27
2021-10-21;3.221,00;9.820,64;10.500,00;0,00;13.721,00
2021-10-22;3.261,57;9.860,85;10.500,00;0,00;13.761,57
2021-10-23;3.261,57;9.860,85;10.500,00;0,00;13.761,57
2021-10-24;3.261,57;9.860,85;10.500,00;0,00;13.761,57
2021-10-25;3.342,18;9.937,50;10.500,00;0,00;13.842,18
2021-10-26;3.378,54;9.973,86;10.500,00;0,00;13.878,54
2021-10-27;3.337,23;9.918,15;10.500,00;0,00;13.837,23
2021-10-28;3.260,75;9.851,51;10.500,00;0,00;13.760,75
2021-10-29;3.275,64;9.879,96;10.500,00;0,00;13.775,64
2021-10-30;3.275,64;9.879,96;10.500,00;0,00;13.775,64
2021-10-31;3.275,64;9.879,96;10.500,00;0,00;13.775,64
2021-11-01;3.317,26;9.926,14;10.500,00;0,00;13.817,26
2021-11-02;3.332,53;9.923,77;10.500,00;0,00;13.832,53
2021-11-03;3.327,62;9.915,74;10.500,00;0,00;13.827,62
2021-11-04;3.397,70;9.971,06;10.500,00;0,00;13.897,70
2021-11-05;3.441,80;10.000,64;10.500,00;0,00;13.941,80
2021-11-06;3.441,80;10.000,64;10.500,00;0,00;13.941,80
2021-11-07;3.441,80;10.000,64;10.500,00;0,00;13.941,80
2021-11-08;3.427,28;9.993,80;10.500,00;0,00;13.927,28
2021-11-09;3.398,53;9.949,09;10.500,00;0,00;13.898,53
2021-11-10;3.445,59;10.013,67;10.500,00;0,00;13.945,59
2021-11-11;3.498,51;10.069,47;10.500,00;0,00;13.998,51
2021-11-12;3.551,09;10.118,21;10.500,00;0,00;14.051,09
2021-11-13;3.551,09;10.118,21;10.500,00;0,00;14.051,09
2021-11-14;3.551,09;10.118,21;10.500,00;0,00;14.051,09
2021-11-15;3.570,60;10.143,60;10.500,00;0,00;14.070,60
2021-11-16;3.661,89;10.235,49;10.500,00;0,00;14.161,89
2021-11-17;3.645,83;10.221,23;10.500,00;0,00;14.145,83
2021-11-18;3.561,11;10.123,19;10.500,00;0,00;14.061,11
2021-11-19;3.601,71;10.150,71;10.500,00;0,00;14.101,71
2021-11-20;3.601,71;10.150,71;10.500,00;0,00;14.101,71
2021-11-21;3.601,71;10.150,71;10.500,00;0,00;14.101,71
2021-11-22;3.627,79;10.190,59;10.500,00;0,00;14.127,79
2021-11-23;3.523,15;10.104,43;10.500,00;0,00;14.023,15
2021-11-24;3.594,51;10.182,51;10.500,00;0,00;14.094,51
2021-11-25;3.621,89;10.203,05;10.500,00;0,00;14.121,89
2021-11-26;3.222,59;9.782,63;10.500,00;0,00;13.722,59
2021-11-27;3.222,59;9.782,63;10.500,00;0,00;13.722,59
2021-11-28;3.222,59;9.782,63;10.500,00;0,00;13.722,59
2021-11-29;3.307,20;9.871,08;10.500,00;0,00;13.807,20
2021-11-30;3.182,85;9.738,09;10.500,00;0,00;13.682,85
2021-12-01;3.298,24;9.857,80;10.500,00;0,00;13.798,24
2021-12-02;3.196,42;9.746,74;10.500,00;0,00;13.696,42
2021-12-03;3.164,68;9.711,40;10.500,00;0,00;13.664,68
2021-12-04;3.164,68;9.711,40;10.500,00;0,00;13.664,68
2021-12-05;3.164,68;9.711,40;10.500,00;0,00;13.664,68
2021-12-06;3.223,30;9.763,66;10.500,00;0,00;13.723,30
2021-12-07;3.463,47;10.005,75;10.500,00;0,00;13.963,47
2021-12-08;3.384,13;9.946,81;10.500,00;0,00;13.884,13
2021-12-09;3.400,88;9.955,04;10.500,00;0,00;13.900,88
2021-12-10;3.357,16;9.907,24;10.500,00;0,00;13.857,16
2021-12-11;3.357,16;9.907,24;10.500,00;0,00;13.857,16
2021-12-12;3.357,16;9.907,24;10.500,00;0,00;13.857,16
2021-12-13;3.338,09;9.878,21;10.500,00;0,00;13.838,09
2021-12-14;3.259,08;9.804,00;10.500,00;0,00;13.759,08
2021-12-15;3.226,14;9.772,14;10.500,00;0,00;13.726,14
2021-12-16;3.341,69;9.896,21;10.500,00;0,00;13.841,69
2021-12-17;3.306,21;9.852,33;10.500,00;0,00;13.806,21
2021-12-18;3.306,21;9.852,33;10.500,00;0,00;13.806,21
2021-12-19;3.306,21;9.852,33;10.500,00;0,00;13.806,21
2021-12-20;3.072,11;9.624,71;10.500,00;0,00;13.572,11
2021-12-21;3.233,40;9.803,52;10.500,00;0,00;13.733,40
2021-12-22;3.297,82;9.872,62;10.500,00;0,00;13.797,82
2021-12-23;3.370,33;9.958,09;10.500,00;0,00;13.870,33
2021-12-24;3.370,33;9.958,09;10.500,00;0,00;13.870,33
2021-12-25;3.370,33;9.958,09;10.500,00;0,00;13.870,33
2021-12-26;3.370,33;9.958,09;10.500,00;0,00;13.870,33
2021-12-27;3.451,67;10.039,07;10.500,00;0,00;13.951,67
2021-12-28;3.489,01;10.075,93;10.500,00;0,00;13.989,01
2021-12-29;3.414,84;10.016,16;10.500,00;0,00;13.914,84
2021-12-30;3.429,52;10.029,40;10.500,00;0,00;13.929,52
2021-12-31;3.429,52;10.029,40;10.500,00;0,00;13.929,52
2022-01-01;3.429,52;10.029,40;10.500,00;0,00;13.929,52
2022-01-02;3.429,52;10.029,40;10.500,00;0,00;13.929,52
2022-01-03;3.447,93;10.061,73;10.500,00;0,00;13.947,93
2022-01-04;3.484,76;10.097,12;10.500,00;0,00;13.984,76
2022-01-05;3.478,43;10.094,39;10.500,00;0,00;13.978,43
2022-01-06;3.379,31;10.001,15;10.500,00;0,00;13.879,31
2022-01-07;3.327,22;9.954,70;10.500,00;0,00;13.827,22
2022-01-08;3.327,22;9.954,70;10.500,00;0,00;13.827,22
2022-01-09;3.327,22;9.954,70;10.500,00;0,00;13.827,22
2022-01-10;3.272,23;9.897,91;10.500,00;0,00;13.772,23
2022-01-11;3.406,17;10.034,25;10.500,00;0,00;13.906,17
2022-01-12;3.473,65;10.094,17;10.500,00;0,00;13.973,65
2022-01-13;3.432,62;10.047,26;10.500,00;0,00;13.932,62
2022-01-14;3.346,80;9.972,36;10.500,00;0,00;13.846,80
2022-01-15;3.346,80;9.972,36;10.500,00;0,00;13.846,80
2022-01-16;3.346,80;9.972,36;10.500,00;0,00;13.846,80
2022-01-17;3.409,56;10.039,44;10.500,00;0,00;13.909,56
2022-01-18;3.357,62;9.991,94;10.500,00;0,00;13.857,62
2022-01-19;3.363,31;9.998,35;10.500,00;0,00;13.863,31
2022-01-20;3.460,15;10.090,87;10.500,00;0,00;13.960,15
2022-01-21;3.273,71;9.898,55;10.500,00;0,00;13.773,71
2022-01-22;3.273,71;9.898,55;10.500,00;0,00;13.773,71
2022-01-23;3.273,71;9.898,55;10.500,00;0,00;13.773,71
2022-01-24;2.974,93;9.593,77;10.500,00;0,00;13.474,93
2022-01-25;3.074,80;9.699,52;10.500,00;0,00;13.574,80
2022-01-26;3.193,23;9.824,55;10.500,00;0,00;13.693,23
2022-01-27;3.232,79;9.861,71;10.500,00;0,00;13.732,79
2022-01-28;3.165,03;9.797,91;10.500,00;0,00;13.665,03
2022-01-29;3.165,03;9.797,91;10.500,00;0,00;13.665,03
2022-01-30;3.165,03;9.797,91;10.500,00;0,00;13.665,03
2022-01-31;3.290,26;9.933,82;10.500,00;0,00;13.790,26
2022-02-01;3.385,03;10.034,95;10.500,00;0,00;13.885,03
2022-02-02;3.403,81;10.051,81;10.500,00;0,00;13.903,81
2022-02-03;3.201,13;9.881,41;10.500,00;0,00;13.701,13
2022-02-04;3.100,92;9.797,88;10.500,00;0,00;13.600,92
2022-02-05;3.100,92;9.797,88;10.500,00;0,00;13.600,92
2022-02-06;3.100,92;9.797,88;10.500,00;0,00;13.600,92
2022-02-07;3.135,62;9.843,14;10.500,00;0,00;13.635,62
2022-02-08;3.146,85;9.865,77;10.500,00;0,00;13.646,85
2022-02-09;3.292,46;9.997,94;10.500,00;0,00;13.792,46
2022-02-10;3.274,30;10.000,66;10.500,00;0,00;13.774,30
2022-02-11;3.222,16;9.951,52;10.500,00;0,00;13.722,16
2022-02-12;3.222,16;9.951,52;10.500,00;0,00;13.722,16
2022-02-13;3.222,16;9.951,52;10.500,00;0,00;13.722,16
2022-02-14;3.143,59;9.875,23;10.500,00;0,00;13.643,59
2022-02-15;3.203,11;9.940,39;10.500,00;0,00;13.703,11
2022-02-16;3.247,85;9.974,45;10.500,00;0,00;13.747,85
2022-02-17;3.231,97;9.948,13;10.500,00;0,00;13.731,97
2022-02-18;3.154,84;9.869,68;10.500,00;0,00;13.654,84
2022-02-19;3.154,84;9.869,68;10.500,00;0,00;13.654,84
2022-02-20;3.154,84;9.869,68;10.500,00;0,00;13.654,84
2022-02-21;3.105,21;9.824,13;10.500,00;0,00;13.605,21
2022-02-22;3.080,61;9.804,09;10.500,00;0,00;13.580,61
2022-02-23;3.067,10;9.788,42;10.500,00;0,00;13.567,10
2022-02-24;3.002,80;9.711,52;10.500,00;0,00;13.502,80
2022-02-25;3.089,89;9.808,09;10.500,00;0,00;13.589,89
2022-02-26;3.089,89;9.808,09;10.500,00;0,00;13.589,89
2022-02-27;3.089,89;9.808,09;10.500,00;0,00;13.589,89
2022-02-28;3.166,31;9.865,67;10.500,00;0,00;13.666,31
2022-03-01;3.310,99;9.948,91;10.500,00;0,00;13.810,99
2022-03-02;3.370,89;10.038,93;10.500,00;0,00;13.870,89
2022-03-03;3.352,52;10.019,72;10.500,00;0,00;13.852,52
2022-03-04;3.367,93;10.013,05;10.500,00;0,00;13.867,93
2022-03-05;3.367,93;10.013,05;10.500,00;0,00;13.867,93
2022-03-06;3.367,93;10.013,05;10.500,00;0,00;13.867,93
2022-03-07;3.353,70;10.015,74;10.500,00;0,00;13.853,70
2022-03-08;3.241,83;9.918,75;10.500,00;0,00;13.741,83
2022-03-09;3.178,60;9.879,16;10.500,00;0,00;13.678,60
2022-03-10;3.057,58;9.786,58;10.500,00;0,00;13.557,58
2022-03-11;3.133,54;9.854,62;10.500,00;0,00;13.633,54
2022-03-12;3.133,54;9.854,62;10.500,00;0,00;13.633,54
2022-03-13;3.133,54;9.854,62;10.500,00;0,00;13.633,54
2022-03-14;2.919,31;9.667,27;10.500,00;0,00;13.419,31
2022-03-15;2.930,09;9.668,45;10.500,00;0,00;13.430,09
2022-03-16;3.146,90;9.893,18;10.500,00;0,00;13.646,90
2022-03-17;3.201,67;9.946,15;10.500,00;0,00;13.701,67
2022-03-18;3.330,88;10.068,28;10.500,00;0,00;13.830,88
2022-03-19;3.330,88;10.068,28;10.500,00;0,00;13.830,88
2022-03-20;3.330,88;10.068,28;10.500,00;0,00;13.830,88
2022-03-21;3.396,18;10.154,70;10.500,00;0,00;13.896,18
2022-03-22;3.485,02;10.251,10;10.500,00;0,00;13.985,02
2022-03-23;3.548,15;10.310,63;10.500,00;0,00;14.048,15
2022-03-24;3.544,76;10.314,56;10.500,00;0,00;14.044,76
2022-03-25;3.547,49;10.322,57;10.500,00;0,00;14.047,49
2022-03-26;3.547,49;10.322,57;10.500,00;0,00;14.047,49
2022-03-27;3.547,49;10.322,57;10.500,00;0,00;14.047,49
2022-03-28;3.508,80;10.288,80;10.500,00;0,00;14.008,80
2022-03-29;3.480,55;10.269,31;10.500,00;0,00;13.980,55
2022-03-30;3.481,78;10.276,90;10.500,00;0,00;13.981,78
2022-03-31;3.469,66;10.243,06;10.500,00;0,00;13.969,66
2022-04-01;3.484,35;10.267,23;10.500,00;0,00;13.984,35
2022-04-02;3.484,35;10.267,23;10.500,00;0,00;13.984,35
2022-04-03;3.484,35;10.267,23;10.500,00;0,00;13.984,35
2022-04-04;3.634,44;10.411,32;10.500,00;0,00;14.134,44
2022-04-05;3.623,99;10.429,43;10.500,00;0,00;14.123,99
2022-04-06;3.459,29;10.273,13;10.500,00;0,00;13.959,29
2022-04-07;3.399,67;10.219,39;10.500,00;0,00;13.899,67
2022-04-08;3.518,24;10.346,24;10.500,00;0,00;14.018,24
2022-04-09;3.518,24;10.346,24;10.500,00;0,00;14.018,24
2022-04-10;3.518,24;10.346,24;10.500,00;0,00;14.018,24
2022-04-11;3.394,77;10.238,37;10.500,00;0,00;13.894,77
2022-04-12;3.486,27;10.324,11;10.500,00;0,00;13.986,27
2022-04-13;3.502,22;10.338,98;10.500,00;0,00;14.002,22
2022-04-14;3.542,28;10.394,64;10.500,00;0,00;14.042,28
2022-04-15;3.542,28;10.394,64;10.500,00;0,00;14.042,28
2022-04-16;3.542,28;10.394,64;10.500,00;0,00;14.042,28
2022-04-17;3.542,28;10.394,64;10.500,00;0,00;14.042,28
2022-04-18;3.542,28;10.394,64;10.500,00;0,00;14.042,28
2022-04-19;3.502,05;10.366,17;10.500,00;0,00;14.002,05
2022-04-20;3.480,65;10.332,41;10.500,00;0,00;13.980,65
2022-04-21;3.459,89;10.328,45;10.500,00;0,00;13.959,89
2022-04-22;3.317,26;10.193,50;10.500,00;0,00;13.817,26
2022-04-23;3.317,26;10.193,50;10.500,00;0,00;13.817,26
2022-04-24;3.317,26;10.193,50;10.500,00;0,00;13.817,26
2022-04-25;3.134,38;9.989,50;10.500,00;0,00;13.634,38
2022-04-26;3.186,31;10.039,51;10.500,00;0,00;13.686,31
2022-04-27;3.297,38;10.152,38;10.500,00;0,00;13.797,38
2022-04-28;3.341,91;10.221,15;10.500,00;0,00;13.841,91
2022-04-29;3.408,56;10.294,16;10.500,00;0,00;13.908,56
2022-04-30;3.408,56;10.294,16;10.500,00;0,00;13.908,56
2022-05-01;3.408,56;10.294,16;10.500,00;0,00;13.908,56
2022-05-02;3.250,04;10.144,88;10.500,00;0,00;13.750,04
2022-05-03;3.350,26;10.240,90;10.500,00;0,00;13.850,26
2022-05-04;3.268,76;10.166,60;10.500,00;0,00;13.768,76
2022-05-05;3.275,90;10.189,82;10.500,00;0,00;13.775,90
2022-05-06;3.124,78;10.056,70;10.500,00;0,00;13.624,78
2022-05-07;3.124,78;10.056,70;10.500,00;0,00;13.624,78
2022-05-08;3.124,78;10.056,70;10.500,00;0,00;13.624,78
2022-05-09;2.814,54;9.739,62;10.500,00;0,00;13.314,54
2022-05-10;2.813,10;9.718,50;10.500,00;0,00;13.313,10
2022-05-11;2.945,39;9.842,51;10.500,00;0,00;13.445,39
2022-05-12;2.942,75;9.812,27;10.500,00;0,00;13.442,75
2022-05-13;3.090,32;9.977,00;10.500,00;0,00;13.590,32
2022-05-14;3.090,32;9.977,00;10.500,00;0,00;13.590,32
2022-05-15;3.090,32;9.977,00;10.500,00;0,00;13.590,32
2022-05-16;3.116,08;10.002,40;10.500,00;0,00;13.616,08
2022-05-17;3.144,04;10.051,84;10.500,00;0,00;13.644,04
2022-05-18;3.062,34;9.964,98;10.500,00;0,00;13.562,34
2022-05-19;2.941,24;9.833,44;10.500,00;0,00;13.441,24
2022-05-20;2.967,22;9.869,98;10.500,00;0,00;13.467,22
2022-05-21;2.967,22;9.869,98;10.500,00;0,00;13.467,22
2022-05-22;2.967,22;9.869,98;10.500,00;0,00;13.467,22
2022-05-23;2.970,71;9.887,51;10.500,00;0,00;13.470,71
2022-05-24;2.818,70;9.726,14;10.500,00;0,00;13.318,70
2022-05-25;2.968,46;9.873,02;10.500,00;0,00;13.468,46
2022-05-26;3.060,55;9.971,95;10.500,00;0,00;13.560,55
2022-05-27;3.175,15;10.078,39;10.500,00;0,00;13.675,15
2022-05-28;3.175,15;10.078,39;10.500,00;0,00;13.675,15
2022-05-29;3.175,15;10.078,39;10.500,00;0,00;13.675,15
2022-05-30;3.229,74;10.152,18;10.500,00;0,00;13.729,74
2022-05-31;3.195,21;10.135,17;10.500,00;0,00;13.695,21
2022-06-01;3.142,13;10.096,01;10.500,00;0,00;13.642,13
2022-06-02;3.158,72;10.127,36;10.500,00;0,00;13.658,72
2022-06-03;3.113,62;10.090,06;10.500,00;0,00;13.613,62
2022-06-04;3.113,62;10.090,06;10.500,00;0,00;13.613,62
2022-06-05;3.113,62;10.090,06;10.500,00;0,00;13.613,62
2022-06-06;3.250,57;10.236,01;10.500,00;0,00;13.750,57
2022-06-07;3.212,83;10.185,67;10.500,00;0,00;13.712,83
2022-06-08;3.230,62;10.216,42;10.500,00;0,00;13.730,62
2022-06-09;3.119,85;10.130,13;10.500,00;0,00;13.619,85
2022-06-10;2.952,37;9.983,29;10.500,00;0,00;13.452,37
2022-06-11;2.952,37;9.983,29;10.500,00;0,00;13.452,37
2022-06-12;2.952,37;9.983,29;10.500,00;0,00;13.452,37
2022-06-13;2.705,17;9.771,13;10.500,00;0,00;13.205,17
2022-06-14;2.633,75;9.724,55;10.500,00;0,00;13.133,75
2022-06-15;2.732,95;9.791,59;10.500,00;0,00;13.232,95
2022-06-16;2.472,47;9.529,79;10.500,00;0,00;12.972,47
2022-06-17;2.469,92;9.514,28;10.500,00;0,00;12.969,92
2022-06-18;2.469,92;9.514,28;10.500,00;0,00;12.969,92
2022-06-19;2.469,92;9.514,28;10.500,00;0,00;12.969,92
2022-06-20;2.436,45;9.497,73;10.500,00;0,00;12.936,45
2022-06-21;2.496,33;9.565,41;10.500,00;0,00;12.996,33
2022-06-22;2.415,61;9.454,21;10.500,00;0,00;12.915,61
2022-06-23;2.429,66;9.435,62;10.500,00;0,00;12.929,66
2022-06-24;2.555,26;9.566,98;10.500,00;0,00;13.055,26
2022-06-25;2.555,26;9.566,98;10.500,00;0,00;13.055,26
2022-06-26;2.555,26;9.566,98;10.500,00;0,00;13.055,26
2022-06-27;2.561,18;9.583,94;10.500,00;0,00;13.061,18
2022-06-28;2.601,52;9.640,72;10.500,00;0,00;13.101,52
2022-06-29;2.589,39;9.602,07;10.500,00;0,00;13.089,39
2022-06-30;2.471,35;9.462,67;10.500,00;0,00;12.971,35
2022-07-01;2.491,45;9.452,77;10.500,00;0,00;12.991,45
2022-07-02;2.491,45;9.452,77;10.500,00;0,00;12.991,45
2022-07-03;2.491,45;9.452,77;10.500,00;0,00;12.991,45
2022-07-04;2.506,45;9.494,17;10.500,00;0,00;13.006,45
2022-07-05;2.423,35;9.387,07;10.500,00;0,00;12.923,35
2022-07-06;2.535,00;9.493,68;10.500,00;0,00;13.035,00
2022-07-07;2.756,28;9.733,44;10.500,00;0,00;13.256,28
2022-07-08;2.779,17;9.764,13;10.500,00;0,00;13.279,17
2022-07-09;2.779,17;9.764,13;10.500,00;0,00;13.279,17
2022-07-10;2.779,17;9.764,13;10.500,00;0,00;13.279,17
2022-07-11;2.756,61;9.724,65;10.500,00;0,00;13.256,61
2022-07-12;2.739,54;9.683,82;10.500,00;0,00;13.239,54
2022-07-13;2.676,11;9.618,59;10.500,00;0,00;13.176,11
2022-07-14;2.554,97;9.516,53;10.500,00;0,00;13.054,97
2022-07-15;2.659,88;9.612,32;10.500,00;0,00;13.159,88
2022-07-16;2.659,88;9.612,32;10.500,00;0,00;13.159,88
2022-07-17;2.659,88;9.612,32;10.500,00;0,00;13.159,88
2022-07-18;2.761,41;9.727,65;10.500,00;0,00;13.261,41
2022-07-19;2.706,64;9.682,96;10.500,00;0,00;13.206,64
2022-07-20;2.803,52;9.776,00;10.500,00;0,00;13.303,52
2022-07-21;2.811,70;9.785,26;10.500,00;0,00;13.311,70
2022-07-22;2.897,32;9.837,04;10.500,00;0,00;13.397,32
2022-07-23;2.897,32;9.837,04;10.500,00;0,00;13.397,32
2022-07-24;2.897,32;9.837,04;10.500,00;0,00;13.397,32
2022-07-25;2.886,62;9.822,62;10.500,00;0,00;13.386,62
2022-07-26;2.984,98;9.903,34;10.500,00;0,00;13.484,98
2022-07-27;3.013,31;9.936,71;10.500,00;0,00;13.513,31
2022-07-28;3.139,54;10.037,02;10.500,00;0,00;13.639,54
2022-07-29;3.240,12;10.122,24;10.500,00;0,00;13.740,12
2022-07-30;3.240,12;10.122,24;10.500,00;0,00;13.740,12
2022-07-31;3.240,12;10.122,24;10.500,00;0,00;13.740,12
2022-08-01;3.110,34;9.976,62;10.500,00;0,00;13.610,34
2022-08-02;3.139,51;10.010,35;10.500,00;0,00;13.639,51
2022-08-03;3.151,88;10.035,68;10.500,00;0,00;13.651,88
2022-08-04;3.151,88;10.035,68;10.500,00;0,00;13.651,88
